id|type|name|url|place
0|company|Kam_Air|http://dbpedia.org/resource/Kam_Air|59
1|company|Balkh_Airlines|http://dbpedia.org/resource/Balkh_Airlines|59
2|company|Khyber_Afghan_Airlines|http://dbpedia.org/resource/Khyber_Afghan_Airlines|59
3|company|MarcoPolo_Airways|http://dbpedia.org/resource/MarcoPolo_Airways|59
4|company|Pamir_Airways|http://dbpedia.org/resource/Pamir_Airways|59
5|company|Bakhtar_Afghan_Airlines|http://dbpedia.org/resource/Bakhtar_Afghan_Airlines|59
6|company|Safi_Airways|http://dbpedia.org/resource/Safi_Airways|59
7|company|Air_Algérie|http://dbpedia.org/resource/Air_Algérie|60
8|company|Khalifa_Airways|http://dbpedia.org/resource/Khalifa_Airways|60
9|company|Tassili_Airlines|http://dbpedia.org/resource/Tassili_Airlines|60
10|company|Antinea_Airlines|http://dbpedia.org/resource/Antinea_Airlines|60
11|company|Star_Aviation|http://dbpedia.org/resource/Star_Aviation|60
12|company|TAAG_Angola_Airlines|http://dbpedia.org/resource/TAAG_Angola_Airlines|2
13|company|Aero_Tropical|http://dbpedia.org/resource/Aero_Tropical|2
14|company|Angola_Air_Charter|http://dbpedia.org/resource/Angola_Air_Charter|2
15|company|Alada|http://dbpedia.org/resource/Alada|2
16|company|Air_Gemini|http://dbpedia.org/resource/Air_Gemini|2
17|company|Aeronáutica_(Angola)|http://dbpedia.org/resource/Aeronáutica_(Angola)|2
18|company|Diexim_Expresso|http://dbpedia.org/resource/Diexim_Expresso|2
19|company|SonAir|http://dbpedia.org/resource/SonAir|2
20|company|Air_26|http://dbpedia.org/resource/Air_26|2
21|company|Aerolíneas_Argentinas|http://dbpedia.org/resource/Aerolíneas_Argentinas|61
22|company|Austral_Líneas_Aéreas|http://dbpedia.org/resource/Austral_Líneas_Aéreas|61
23|company|Líneas_Aéreas_Privadas_Argentinas|http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas|61
24|company|Aero_VIP_(Argentina)|http://dbpedia.org/resource/Aero_VIP_(Argentina)|61
25|company|CATA_Línea_Aérea|http://dbpedia.org/resource/CATA_Línea_Aérea|61
